Result,Day,Player
4,2021-04-25,61
4,2021-05-12,890
6,2020-10-31,721
5,2021-02-14,481
4,2020-06-05,116
4,2021-02-06,882
3,2020-08-27,513
4,2020-10-15,155
3,2021-03-23,941
4,2020-10-02,369
5,2021-02-06,253
6,2021-01-12,230
2,2021-03-16,757
3,2021-02-28,897
5,2020-08-02,801
1,2021-02-17,897
4,2021-03-14,88
1,2020-07-13,87
2,2020-10-09,487
6,2021-03-20,155
3,2020-07-20,427
5,2021-04-14,279
2,2020-12-15,86
5,2020-08-02,521
4,2020-11-09,17
4,2021-05-20,826
4,2021-02-25,748
6,2020-08-01,938
4,2020-12-21,568
4,2020-07-14,979
2,2020-06-27,414
4,2021-03-02,541
5,2021-04-20,971
3,2020-06-06,547
3,2020-06-04,159
5,2020-06-15,826
5,2021-02-24,825
1,2020-09-04,820
3,2020-11-20,932
4,2021-05-05,21
3,2020-08-10,43
4,2020-12-18,893
2,2020-09-16,506
5,2020-10-28,253
1,2020-08-14,674
6,2020-09-12,159
3,2020-07-20,835
1,2020-08-10,375
1,2020-10-07,184
3,2020-07-30,539
2,2021-01-13,396
3,2021-01-30,882
4,2021-04-13,690
2,2020-10-18,440
2,2020-09-12,956
6,2021-03-05,679
3,2021-02-10,223
6,2020-05-28,916
2,2021-02-07,830
6,2021-04-02,801
5,2020-06-12,24
6,2020-11-25,875
3,2020-08-03,598
3,2020-09-18,814
4,2021-01-13,498
3,2020-12-28,351
3,2020-12-26,129
5,2020-07-17,787
3,2021-02-16,533
3,2020-11-04,362
3,2021-02-19,511
4,2020-12-10,341
4,2021-01-10,397
3,2020-12-17,408
4,2020-07-29,763
5,2020-07-27,137
1,2021-03-06,704
3,2020-11-20,878
5,2021-04-12,62
5,2020-11-19,265
5,2021-01-08,934
3,2021-01-20,181
3,2021-02-19,669
5,2020-09-01,877
4,2020-06-06,292
3,2021-01-25,178
3,2021-03-04,156
5,2020-11-06,541
4,2020-08-31,891
3,2020-07-04,658
6,2020-10-14,717
3,2021-05-14,161
3,2021-02-16,31
3,2020-09-16,497
3,2021-01-02,523
3,2020-12-15,419
5,2020-09-16,450
4,2020-12-09,533
3,2020-06-11,333
2,2021-03-13,863
6,2020-09-22,944
2,2020-07-04,955
4,2020-08-15,874
4,2020-12-24,155
5,2020-08-09,234
2,2020-05-30,2
4,2021-04-09,553
2,2020-07-08,692
6,2021-01-15,284
2,2021-02-26,848
5,2021-01-26,737
6,2021-04-09,801
6,2021-03-03,284
4,2020-07-25,559
4,2021-02-17,405
4,2020-06-02,209
4,2021-02-08,890
6,2021-01-23,935
5,2020-06-04,879
4,2020-10-13,306
1,2020-06-11,96
3,2020-06-06,865
3,2020-11-05,810
1,2021-03-05,135
3,2021-05-04,672
3,2020-11-03,40
5,2020-12-12,340
1,2020-12-12,516
5,2020-10-28,225
3,2021-04-14,772
2,2020-06-25,600
5,2021-04-13,554
3,2020-09-13,666
3,2020-09-08,161
4,2020-12-02,166
2,2021-02-10,57
4,2020-09-13,508
5,2020-07-20,871
3,2020-12-06,83
5,2020-08-30,979
4,2021-03-22,522
4,2020-09-20,487
4,2021-02-09,483
6,2020-10-03,763
3,2020-12-06,178
4,2020-11-08,63
4,2020-08-24,908
5,2020-12-10,754
3,2020-12-22,859
4,2020-12-13,554
4,2021-03-03,302
3,2020-08-04,498
3,2020-11-08,144
3,2020-08-06,916
5,2021-02-25,500
1,2021-05-07,388
2,2021-05-12,704
4,2020-10-25,219
5,2020-10-04,976
4,2020-07-17,796
5,2021-02-22,513
4,2020-09-13,479
3,2020-12-27,708
3,2021-05-16,362
3,2021-02-23,746
1,2021-04-07,579
2,2021-03-07,516
2,2020-06-23,669
2,2021-01-10,679
5,2020-07-16,269
4,2020-08-17,577
4,2021-05-19,718
3,2021-04-07,894
3,2020-08-29,198
2,2021-05-05,409
3,2021-04-13,874
3,2020-10-03,517
3,2020-12-20,643
2,2020-12-08,57
3,2020-11-15,559
1,2020-07-29,724
5,2020-09-03,253
3,2020-07-17,613
3,2020-08-24,795
3,2020-09-28,409
3,2020-10-04,760
4,2021-04-17,223
6,2021-03-11,62
6,2021-03-26,57
3,2020-11-02,192
1,2021-05-23,610
3,2020-10-01,964
4,2020-08-25,15
2,2020-10-15,240
1,2021-03-05,278
6,2020-11-06,891
3,2020-07-16,854
3,2021-05-13,137
3,2021-03-01,359
1,2020-07-04,45
5,2020-07-31,454
3,2020-11-02,958
6,2020-09-10,367
4,2021-04-04,626
4,2021-01-12,570
3,2021-01-23,825
5,2020-07-20,554
4,2021-04-30,356
3,2020-11-12,155
4,2020-12-12,887
4,2020-09-08,610
4,2021-05-07,922
2,2021-04-12,66
2,2020-10-11,917
5,2020-07-08,56
3,2020-09-03,742
1,2021-01-30,252
4,2021-05-15,137
4,2020-12-24,326
2,2021-02-13,350
5,2020-12-29,230
2,2020-06-21,891
3,2020-12-19,504
2,2020-08-16,315
4,2020-10-19,546
4,2020-07-17,222
5,2021-03-14,801
3,2020-10-23,578
4,2020-06-12,738
3,2020-12-08,189
3,2021-04-15,850
5,2021-03-27,144
2,2020-10-28,64
3,2020-07-07,559
4,2020-08-30,63
6,2020-08-25,63
4,2020-08-21,526
1,2020-06-19,963
5,2020-05-26,465
3,2021-04-28,790
2,2020-07-24,341
2,2021-04-21,339
2,2020-06-20,156
5,2021-01-06,890
6,2020-10-18,541
3,2020-10-21,365
2,2020-09-29,941
1,2020-10-06,990
3,2020-11-11,547
4,2020-10-14,848
2,2021-01-19,213
5,2020-11-21,428
2,2020-09-07,254
3,2020-07-21,223
3,2020-10-22,57
1,2021-04-05,760
3,2020-09-12,441
3,2020-08-03,24
2,2020-07-19,187
6,2021-03-15,801
4,2021-05-05,161
4,2020-11-03,85
5,2021-05-18,341
4,2020-06-14,522
3,2020-10-03,569
3,2020-09-27,595
2,2021-03-27,230
4,2020-06-18,700
5,2020-11-03,382
5,2020-08-31,165
4,2020-11-27,341
6,2020-11-10,735
1,2020-12-22,534
3,2021-05-16,548
2,2021-04-19,511
2,2021-02-15,71
4,2020-07-27,812
1,2021-04-11,289
5,2020-07-08,966
4,2020-06-21,541
4,2020-11-21,362
2,2020-08-18,63
4,2020-12-08,324
4,2021-03-19,263
5,2020-08-07,498
5,2020-05-28,788
3,2021-02-02,198
4,2021-02-09,470
4,2020-06-07,893
4,2020-12-10,311
5,2020-11-12,905
3,2020-08-19,606
3,2021-01-16,356
3,2021-04-09,795
2,2020-06-19,336
4,2021-02-13,559
3,2021-01-31,459
1,2020-10-11,75
2,2021-01-20,640
4,2020-07-15,618
1,2021-05-01,338
2,2021-02-21,57
5,2020-11-08,882
5,2020-07-19,160
4,2021-01-06,234
3,2020-07-01,489
5,2020-10-10,418
3,2020-11-03,754
4,2021-04-20,991
5,2020-10-29,407
2,2021-05-14,556
6,2020-11-08,159
3,2020-07-25,498
3,2020-07-19,876
4,2021-01-29,941
5,2020-10-25,57
5,2020-06-09,479
3,2020-06-12,772
3,2021-02-26,82
4,2021-03-21,392
3,2021-05-01,941
4,2020-11-21,931
2,2020-11-24,882
1,2020-05-29,590
4,2021-01-23,436
2,2020-09-17,313
4,2021-05-09,487
4,2021-01-09,231
4,2020-12-05,432
3,2021-02-01,554
4,2020-10-25,737
3,2021-02-06,393
3,2020-10-23,167
6,2021-05-05,21
3,2021-05-02,440
6,2021-03-08,370
3,2021-02-02,754
3,2020-07-10,690
1,2021-04-16,320
5,2020-10-27,86
4,2021-04-02,209
4,2021-03-01,588
4,2021-04-16,269
2,2021-04-12,577
1,2021-03-11,569
4,2020-10-06,916
4,2020-07-16,79
4,2020-10-21,97
3,2020-10-26,427
2,2020-10-16,549
3,2021-01-11,547
3,2021-04-28,535
4,2021-02-04,928
4,2020-06-19,494
5,2021-04-27,893
4,2021-01-08,340
4,2020-07-18,893
2,2020-06-08,793
5,2021-03-25,546
2,2021-01-10,539
2,2020-10-31,137
1,2020-10-05,942
6,2021-05-08,513
5,2021-02-06,809
1,2020-07-23,112
4,2021-04-28,42
5,2020-11-24,73
2,2020-10-17,62
3,2020-10-11,492
4,2020-10-24,844
2,2021-01-01,483
6,2020-06-13,618
5,2020-08-08,489
4,2020-09-23,795
3,2020-09-28,223
4,2020-10-04,430
4,2021-04-04,741
4,2021-02-19,513
5,2020-10-02,890
3,2021-02-19,356
5,2020-07-02,428
2,2021-01-08,345
1,2021-05-01,975
4,2021-03-28,860
3,2021-05-19,21
5,2020-12-22,643
3,2020-09-03,606
5,2020-12-10,46
4,2020-08-26,57
1,2020-06-23,418
2,2020-11-30,195
5,2020-11-08,405
2,2020-10-18,952
2,2020-12-04,296
2,2020-12-09,511
5,2021-04-28,436
6,2020-10-29,42
3,2020-12-07,904
3,2020-09-04,721
4,2020-07-16,584
2,2020-09-13,595
5,2020-08-02,511
6,2021-02-15,721
5,2020-05-29,746
5,2020-07-16,13
1,2021-04-18,671
4,2020-10-04,847
6,2021-02-22,472
2,2020-08-15,679
1,2021-05-07,627
1,2020-06-15,228
4,2020-08-24,155
3,2020-06-24,603
2,2020-12-24,743
4,2020-11-18,86
5,2021-05-16,440
2,2021-02-22,967
2,2021-05-03,796
4,2020-06-09,62
4,2021-03-19,984
3,2020-07-09,83
3,2021-01-08,651
5,2020-11-10,50
3,2021-05-23,57
4,2020-08-25,735
5,2021-02-25,165
6,2021-04-30,533
1,2020-11-12,423
2,2020-09-23,382
1,2020-12-21,228
3,2020-06-16,679
4,2021-04-16,840
6,2021-02-25,923
3,2021-04-10,62
1,2021-04-28,810
5,2020-09-29,604
5,2020-06-05,474
2,2020-09-24,613
4,2021-02-02,216
6,2020-07-19,231
6,2021-02-26,992
3,2021-03-28,766
5,2021-01-13,490
4,2020-10-22,513
5,2020-07-08,941
2,2020-10-14,324
5,2021-03-07,57
4,2021-05-01,86
5,2020-12-08,285
3,2021-04-25,826
6,2020-08-23,960
3,2020-08-10,594
1,2020-07-19,492
5,2020-12-26,784
4,2020-09-01,106
2,2020-07-07,959
5,2020-10-02,278
3,2020-12-08,936
2,2020-09-04,859
1,2021-04-07,443
2,2020-12-14,264
2,2020-11-07,754
3,2020-09-26,498
6,2020-07-26,785
6,2020-11-16,690
4,2021-04-30,517
1,2021-04-24,651
2,2020-09-16,406
3,2020-10-15,551
2,2021-03-27,513
5,2020-10-05,882
3,2021-01-20,490
4,2020-10-27,324
4,2021-02-13,539
6,2020-07-28,812
3,2021-02-26,162
5,2021-04-01,209
3,2021-04-18,140
2,2020-08-17,793
4,2021-03-18,24
3,2021-05-24,212
4,2020-08-13,426
3,2020-12-21,106
4,2020-09-13,848
3,2020-12-08,850
5,2020-07-30,13
4,2020-12-12,801
1,2020-05-28,488
1,2021-04-25,395
5,2020-10-25,202
5,2020-07-27,62
4,2020-10-02,299
5,2021-03-26,85
3,2020-06-15,559
5,2021-02-23,428
2,2020-12-15,883
4,2020-06-17,979
3,2020-06-19,914
6,2021-01-10,774
3,2021-03-02,130
3,2021-03-13,554
4,2020-11-18,908
2,2021-04-25,589
4,2021-05-04,42
3,2020-10-08,937
3,2020-09-06,537
4,2020-08-06,46
2,2020-11-23,618
4,2021-02-06,440
5,2021-05-12,340
3,2020-10-24,457
6,2021-01-09,159
3,2021-05-20,254
4,2021-03-05,511
3,2021-04-22,652
4,2021-04-24,875
3,2020-11-25,819
5,2021-05-03,392
5,2021-05-23,440
3,2021-01-28,690
4,2021-01-30,284
3,2021-02-11,62
4,2021-02-24,72
5,2020-08-23,691
4,2020-09-24,953
5,2020-12-09,240
2,2020-08-23,937
3,2021-05-15,610
5,2020-09-16,554
1,2020-12-11,109
2,2020-07-04,48
2,2020-10-02,795
2,2020-09-17,861
6,2020-06-09,738
4,2021-05-18,463
4,2021-02-23,42
4,2020-08-30,828
2,2021-01-12,363
4,2020-09-26,397
4,2020-07-28,13
1,2021-03-06,726
5,2021-02-25,356
5,2020-12-20,209
4,2021-04-24,42
2,2021-05-04,947
2,2020-09-04,234
2,2020-07-16,299
6,2021-05-19,648
5,2021-01-26,440
3,2021-05-15,826
4,2020-07-17,428
2,2020-09-20,11
4,2021-05-09,931
5,2021-05-04,255
5,2020-12-09,236
2,2021-02-16,231
1,2021-05-10,877
4,2020-06-18,518
5,2021-01-10,735
3,2021-01-07,452
4,2020-06-10,897
2,2020-12-11,890
5,2021-03-20,844
4,2020-11-09,593
3,2021-01-03,324
3,2021-05-05,718
4,2021-03-26,649
4,2021-02-03,153
1,2021-01-12,452
4,2021-03-21,356
6,2020-09-16,772
1,2021-04-29,963
3,2021-02-21,209
6,2021-02-19,669
2,2020-11-30,324
4,2021-02-20,324
4,2020-12-09,976
1,2020-07-15,709
6,2020-11-08,735
3,2021-01-23,359
3,2020-09-06,386
3,2020-09-08,863
2,2020-09-14,542
3,2021-02-14,442
1,2020-08-18,901
2,2021-02-23,882
1,2020-10-23,774
3,2021-02-15,337
5,2021-04-29,230
4,2020-09-04,430
6,2020-06-13,230
4,2020-09-30,554
1,2020-09-30,102
6,2020-09-22,871
4,2020-10-05,785
3,2020-07-31,825
5,2020-06-17,172
2,2021-02-15,357
6,2020-09-18,559
2,2021-05-09,447
6,2021-02-17,801
5,2020-07-24,120
3,2021-04-07,253
5,2020-09-24,440
3,2020-12-01,879
2,2021-04-19,188
5,2021-04-15,34
2,2021-04-11,442
3,2020-10-01,162
5,2020-10-31,95
3,2021-03-30,46
5,2020-07-26,950
3,2020-07-29,690
6,2020-11-11,61
3,2020-08-22,645
3,2020-09-28,472
4,2021-03-08,539
4,2020-08-13,648
2,2021-04-24,161
4,2021-05-23,966
6,2020-07-23,382
1,2020-08-26,477
2,2020-09-09,539
4,2020-10-09,826
1,2020-11-11,573
6,2020-11-06,423
5,2020-11-05,56
4,2021-03-05,46
2,2021-04-27,112
5,2021-03-29,253
5,2020-06-05,533
1,2020-06-01,815
5,2020-11-04,891
5,2020-07-29,873
4,2020-06-08,157
5,2020-06-14,419
4,2020-10-29,230
4,2020-08-15,356
6,2021-03-30,253
4,2021-02-16,46
5,2021-02-02,94
3,2020-06-29,325
3,2020-12-12,136
2,2021-01-31,710
2,2020-08-11,437
6,2020-12-19,92
4,2020-09-01,209
5,2021-02-22,943
2,2020-12-27,92
4,2020-11-17,513
3,2021-02-11,459
4,2021-03-21,159
5,2020-12-12,445
3,2021-01-04,891
1,2021-05-11,170
4,2021-04-12,768
4,2020-07-10,231
5,2021-04-11,871
4,2021-01-02,999
4,2020-08-14,46
3,2021-04-13,48
6,2021-01-08,717
3,2020-09-02,648
2,2021-05-03,893
4,2020-07-16,532
3,2020-11-23,648
3,2020-11-10,893
4,2020-10-13,183
3,2020-09-25,731
4,2020-12-17,812
4,2021-03-09,344
1,2021-02-28,803
2,2020-09-05,458
2,2020-07-29,579
3,2021-03-28,659
3,2020-10-09,892
4,2020-09-06,622
5,2020-06-22,735
4,2021-04-07,914
2,2021-02-28,137
3,2020-11-25,789
1,2020-08-01,820
4,2020-10-07,825
4,2021-01-21,181
2,2020-12-05,710
3,2021-03-21,40
2,2021-03-23,432
5,2021-03-10,299
4,2020-09-06,392
5,2021-02-20,145
2,2021-04-14,860
1,2021-04-18,246
2,2021-04-28,372
3,2020-07-25,489
6,2021-04-29,887
4,2021-04-09,887
5,2020-06-26,440
1,2021-01-20,149
2,2020-06-01,483
5,2020-09-12,801
2,2021-01-22,916
3,2021-01-18,721
4,2020-07-04,253
5,2020-07-09,382
2,2020-09-20,245
2,2020-12-02,53
1,2020-10-03,319
1,2020-10-31,869
6,2020-06-24,250
2,2021-03-31,289
4,2021-03-26,979
5,2021-05-13,875
3,2020-10-14,933
5,2021-01-04,324
1,2020-08-29,728
4,2021-02-18,53
4,2021-04-23,979
3,2020-12-20,594
1,2020-10-30,667
1,2021-02-03,824
4,2020-06-18,383
4,2021-01-14,442
1,2020-06-22,991
5,2021-04-19,882
2,2020-11-06,631
2,2020-07-31,202
2,2020-08-13,469
3,2020-09-02,42
5,2020-05-29,934
3,2020-08-17,477
4,2020-05-28,493
2,2020-12-11,696
1,2021-03-12,888
2,2020-06-01,392
4,2020-09-21,257
3,2021-04-13,947
1,2021-05-08,311
1,2020-10-04,302
3,2020-05-31,482
1,2021-01-28,629
6,2020-11-03,513
5,2021-03-12,831
4,2020-05-27,913
2,2020-11-15,183
6,2020-06-22,97
2,2021-04-13,165
4,2020-12-23,155
2,2020-07-30,62
2,2020-10-10,386
6,2021-04-01,344
4,2020-08-27,224
3,2020-12-08,737
2,2020-11-30,342
5,2021-03-24,46
3,2020-07-25,84
4,2021-03-15,299
5,2020-12-10,772
2,2020-07-15,324
5,2020-12-15,539
4,2021-05-06,42
1,2021-03-30,961
3,2020-10-14,860
3,2021-02-15,367
4,2021-03-08,216
1,2021-03-19,50
4,2021-05-17,21
3,2021-02-26,210
3,2020-09-04,294
3,2020-09-02,257
6,2020-08-02,4
6,2021-03-18,39
4,2021-05-12,533
5,2021-03-10,285
3,2021-05-24,383
4,2020-06-22,479
6,2021-03-23,303
3,2021-03-01,527
5,2021-04-09,223
5,2020-11-27,166
3,2021-03-08,204
6,2021-02-09,943
4,2020-11-18,231
2,2020-09-15,549
5,2020-09-29,890
5,2020-10-05,882
1,2020-06-05,289
3,2021-04-17,216
4,2021-01-27,836
3,2020-11-18,62
4,2020-08-12,887
1,2021-05-01,884
5,2020-12-04,392
6,2020-09-20,56
4,2021-04-02,165
3,2020-05-29,97
4,2020-06-03,700
4,2021-04-21,253
5,2021-05-06,754
4,2021-05-23,914
2,2021-02-23,619
4,2020-10-19,976
3,2020-07-27,868
4,2020-08-20,477
5,2020-07-18,968
4,2021-03-04,408
5,2021-02-19,142
1,2021-04-02,77
5,2020-09-17,124
5,2021-04-20,288
4,2021-02-14,550
3,2021-03-09,471
2,2020-08-30,393
6,2021-03-11,958
3,2021-04-09,945
6,2020-08-17,532
2,2020-10-08,339
3,2020-06-08,703
4,2021-03-17,882
6,2020-06-14,584
4,2020-08-19,801
4,2020-12-16,356
5,2020-08-30,142
3,2021-04-19,501
2,2021-05-01,273
4,2020-07-17,721
5,2020-12-04,99
5,2020-10-09,57
1,2020-07-22,603
1,2020-11-09,780
2,2020-08-15,356
3,2020-11-21,879
3,2020-11-03,458
2,2021-05-06,495
3,2020-11-09,700
3,2020-09-22,288
4,2020-12-16,39
3,2020-09-22,890
3,2021-05-21,19
1,2020-11-05,740
5,2021-02-21,483
4,2020-06-28,847
1,2020-09-05,410
3,2020-05-30,281
2,2021-03-28,735
2,2020-09-07,730
4,2021-05-13,97
6,2021-03-15,324
3,2020-06-28,848
2,2020-10-30,574
5,2021-05-05,472
4,2020-10-22,941
1,2020-11-03,642
3,2021-03-14,547
2,2020-06-23,491
4,2021-05-14,34
5,2020-09-05,188
4,2021-01-23,795
4,2020-07-11,159
3,2020-08-02,254
4,2020-05-29,42
4,2020-12-07,285
2,2021-01-05,367
2,2021-04-11,826
5,2020-11-24,836
5,2021-01-09,428
4,2021-03-11,652
6,2020-07-20,13
4,2020-11-26,500
5,2020-10-21,954
2,2021-01-28,651
4,2020-06-20,513
3,2020-06-30,472
2,2020-11-10,288
4,2021-01-05,554
6,2021-01-19,483
1,2020-06-18,896
3,2020-10-05,238
5,2021-04-06,511
3,2020-09-12,734
4,2021-04-14,487
5,2021-05-10,83
1,2021-03-28,172
1,2020-08-31,15
2,2021-01-05,60
4,2021-05-10,145
2,2020-08-28,606
5,2021-02-13,879
4,2020-09-22,718
3,2021-05-09,735
6,2020-10-22,707
2,2021-05-06,919
5,2021-02-06,539
3,2021-04-04,371
4,2020-09-01,222
4,2020-07-30,240
4,2020-06-12,188
3,2020-10-15,800
1,2020-08-03,654
5,2020-11-13,440
3,2020-07-10,368
4,2021-03-10,979
5,2020-06-02,606
1,2021-04-10,423
5,2020-06-29,367
6,2020-12-27,988
2,2020-08-02,218
1,2021-01-31,314
3,2021-01-28,137
3,2021-02-16,167
5,2020-06-03,844
3,2021-05-01,84
5,2021-03-17,533
3,2021-01-08,742
3,2021-02-21,223
3,2020-09-23,6
5,2020-10-18,648
5,2021-04-30,489
2,2020-08-06,42
3,2021-04-24,199
3,2021-01-19,648
4,2021-02-19,912
3,2021-03-04,533
5,2021-04-24,221
2,2021-04-11,432
3,2021-03-05,528
2,2020-07-02,234
3,2020-08-02,729
4,2020-06-01,863
3,2020-11-20,539
3,2021-04-02,479
4,2021-04-02,895
4,2021-03-31,21
4,2020-09-13,915
3,2021-02-20,292
5,2021-03-04,158
5,2020-08-10,362
3,2021-03-08,381
3,2020-12-07,43
4,2021-02-16,188
3,2021-03-10,440
5,2020-12-15,97
3,2020-11-17,240
4,2021-02-22,926
5,2020-11-09,42
3,2021-04-08,880
3,2020-10-31,899
3,2021-05-09,294
3,2020-11-07,155
3,2020-08-25,811
4,2021-03-17,383
6,2021-03-05,483
3,2021-04-13,521
5,2020-08-05,250
3,2020-12-05,173
3,2021-03-16,759
4,2020-09-12,253
5,2021-01-27,521
3,2021-02-21,136
3,2021-01-21,284
3,2021-04-13,156
3,2021-01-18,67
2,2020-12-05,602
4,2020-10-08,711
4,2020-11-02,253
2,2021-03-05,930
3,2020-12-09,667
4,2020-09-23,34
4,2021-04-21,253
2,2020-07-03,388
6,2021-03-30,432
3,2020-07-22,746
2,2020-07-31,80
3,2021-05-10,687
5,2020-12-07,879
4,2020-07-11,379
5,2020-10-15,299
3,2020-06-21,230
5,2021-01-27,68
2,2020-08-05,906
1,2020-09-29,287
1,2020-12-27,287
3,2020-08-15,310
2,2021-03-19,483
3,2020-07-31,826
4,2020-09-23,735
2,2020-11-18,887
1,2020-11-09,712
3,2020-05-29,659
2,2020-08-12,528
4,2021-05-03,119
2,2020-11-30,440
4,2020-06-09,546
2,2021-03-30,402
2,2020-09-13,182
6,2020-09-22,489
3,2020-12-01,231
4,2020-12-03,63
5,2020-08-18,432
4,2020-08-25,849
2,2021-03-03,658
1,2020-12-12,389
3,2021-02-09,108
4,2021-03-08,46
5,2021-04-11,483
1,2020-10-27,954
6,2021-05-13,159
3,2021-01-11,593
3,2020-10-27,340
6,2020-07-22,269
2,2021-05-12,891
4,2021-04-13,487
2,2021-02-24,23
2,2020-11-30,155
3,2020-12-27,620
2,2020-07-23,793
5,2020-12-04,693
6,2020-06-10,187
6,2021-04-02,40
4,2020-11-24,633
2,2021-04-08,873
6,2020-07-02,392
5,2021-01-23,882
3,2021-05-02,847
3,2020-07-22,50
4,2020-06-07,458
2,2021-04-27,804
2,2020-06-03,107
5,2021-03-11,165
4,2021-03-03,288
4,2021-04-13,976
3,2020-09-11,605
2,2020-07-24,217
2,2021-05-23,127
3,2020-09-10,992
1,2021-03-01,599
2,2021-01-03,891
6,2020-06-29,546
6,2021-05-10,342
5,2021-02-13,195
1,2020-07-18,526
4,2020-07-12,364
5,2021-02-26,407
3,2020-10-29,72
3,2020-10-02,348
4,2021-05-16,34
4,2020-11-10,690
5,2020-06-07,253
4,2021-04-26,231
4,2020-12-13,515
3,2020-07-14,761
4,2021-04-19,587
2,2020-10-06,434
2,2020-10-24,409
1,2020-06-13,557
5,2021-05-13,826
3,2020-09-09,18
4,2020-06-01,240
2,2021-03-17,57
3,2021-01-02,979
2,2020-07-15,171
5,2020-09-26,344
6,2020-12-26,785
3,2020-12-20,706
5,2021-02-18,718
3,2021-04-13,513
5,2020-12-22,944
5,2020-12-17,684
5,2021-02-20,404
2,2020-09-20,690
3,2021-04-13,340
2,2020-09-30,368
4,2021-04-08,340
2,2020-10-09,846
4,2020-08-15,795
2,2020-12-04,600
1,2020-06-16,14
2,2020-07-14,451
4,2021-03-03,754
3,2021-03-17,34
2,2021-03-29,356
5,2020-10-29,40
2,2020-08-30,133
3,2020-07-06,85
4,2021-01-30,63
3,2020-06-21,292
3,2021-03-13,88
3,2021-01-25,917
6,2020-12-04,12
4,2020-11-17,882
2,2021-03-26,614
5,2021-05-10,106
4,2021-02-09,197
6,2020-09-23,97
4,2021-02-27,92
4,2020-10-20,795
3,2020-12-02,237
5,2020-09-12,730
5,2020-11-22,145
3,2020-07-19,829
4,2020-08-28,431
5,2020-09-18,559
3,2020-06-18,250
4,2020-07-10,181
3,2021-05-23,75
2,2021-02-09,427
5,2020-09-11,742
1,2020-09-28,289
3,2020-09-17,470
5,2020-10-19,739
3,2020-10-22,137
4,2020-10-30,719
5,2021-01-14,904
6,2020-10-22,34
6,2021-01-25,106
4,2021-03-06,521
6,2021-03-22,979
5,2020-12-09,85
2,2021-05-17,235
2,2020-06-07,248
5,2021-03-17,588
4,2020-09-18,820
5,2021-01-15,521
4,2020-10-07,87
4,2020-08-10,4
5,2021-01-31,998
3,2020-10-18,941
4,2020-11-20,479
6,2020-12-23,737
4,2020-07-12,436
5,2020-07-04,934
3,2020-11-24,753
1,2020-08-08,402
3,2020-06-23,976
4,2020-09-27,943
6,2020-08-09,847
4,2021-01-27,517
4,2020-10-07,106
4,2021-01-11,746
5,2021-03-11,581
3,2020-09-30,864
4,2020-08-11,197
5,2021-02-11,752
3,2020-06-02,763
1,2021-02-10,950
3,2021-03-04,209
5,2020-06-01,362
4,2020-08-12,812
5,2020-08-22,362
3,2020-06-15,357
3,2021-02-17,55
4,2020-06-30,161
4,2021-05-15,746
4,2021-03-12,559
3,2020-09-27,458
4,2020-05-29,976
4,2020-08-22,882
4,2021-04-12,906
4,2021-01-08,142
2,2021-05-05,559
5,2020-11-22,613
6,2021-05-21,871
4,2020-09-11,36
4,2021-04-07,442
2,2021-05-15,719
6,2020-12-09,910
4,2021-04-22,177
3,2020-09-20,650
6,2020-08-17,690
4,2021-04-13,46
5,2021-05-10,63
6,2021-05-21,513
5,2021-02-16,785
3,2020-12-31,513
5,2021-05-23,746
4,2020-12-20,971
3,2020-10-08,40
3,2020-06-12,565
6,2020-10-26,302
4,2021-02-28,10
2,2021-01-22,449
6,2020-07-11,549
6,2021-05-09,721
4,2020-10-20,156
2,2020-12-04,877
4,2021-03-15,539
3,2021-03-13,982
3,2020-08-10,55
2,2020-06-01,968
3,2021-01-09,773
3,2021-02-20,428
5,2021-01-25,155
4,2020-08-05,890
1,2020-11-22,518
4,2020-08-23,879
4,2020-12-24,972
4,2020-08-11,440
5,2020-10-24,546
2,2020-12-11,197
1,2020-11-17,811
3,2021-03-21,703
3,2020-10-13,653
2,2020-12-25,533
1,2020-08-10,881
6,2020-08-31,181
3,2021-05-22,285
2,2021-05-11,268
5,2020-10-15,584
3,2021-01-05,255
3,2020-06-04,653
3,2020-09-18,34
4,2020-05-25,46
2,2020-06-15,440
5,2020-12-18,479
3,2020-08-21,424
1,2021-04-26,705
3,2020-07-28,75
5,2021-03-02,732
6,2020-11-19,600
2,2021-04-03,874
3,2021-03-20,137
3,2020-11-14,826
5,2021-02-26,588
2,2021-03-18,143
4,2021-02-21,577
3,2020-11-17,483
6,2021-03-04,717
5,2020-10-09,526
3,2020-09-12,860
5,2020-08-20,801
1,2020-12-24,969
1,2020-06-11,8
4,2021-03-04,344
2,2020-07-29,231
5,2020-08-02,442
2,2021-01-28,690
4,2020-05-28,610
4,2020-09-14,428
3,2021-05-02,36
3,2020-07-29,265
2,2020-09-03,850
1,2021-05-21,467
5,2020-09-30,721
4,2021-01-19,54
2,2021-04-16,391
5,2021-01-01,473
2,2021-01-12,353
5,2021-03-24,431
3,2021-02-22,906
3,2020-11-06,507
6,2021-01-07,606
2,2021-04-30,440
3,2021-01-08,99
3,2020-06-06,121
2,2020-07-28,871
5,2020-06-19,34
4,2020-06-24,222
3,2020-08-09,234
3,2020-06-22,735
4,2020-12-12,860
3,2021-01-15,299
4,2020-10-29,390
4,2020-06-29,132
2,2020-06-20,553
4,2021-05-08,136
2,2020-10-20,421
2,2021-02-06,899
6,2020-07-04,681
5,2020-08-05,392
3,2021-02-22,746
3,2021-01-29,442
1,2021-03-12,959
